Année,Entité administrative,Id Entité,Activité,Energie,Variable,Valeur,Unite
2017,ABRIÈS (05),5001,Tous secteurs,Toutes énergies,co2,2586389.3,kg
2017,AIGLUN (04),4001,Tous secteurs,Toutes énergies,co2,6569527.4,kg
2017,AIGLUN (06),6001,Tous secteurs,Toutes énergies,co2,895645.7,kg
2017,AIGUILLES (05),5003,Tous secteurs,Toutes énergies,co2,2729070.4,kg
2017,AIGUINES (83),83002,Tous secteurs,Toutes énergies,co2,3015715.9,kg
2017,AIX-EN-PROVENCE (13),13001,Tous secteurs,Toutes énergies,co2,672153311.7,kg
2017,ALLAUCH (13),13002,Tous secteurs,Toutes énergies,co2,39919210.6,kg
2017,ALLEINS (13),13003,Tous secteurs,Toutes énergies,co2,6414156.5,kg
2017,ALLEMAGNE-EN-PROVENCE (04),4004,Tous secteurs,Toutes énergies,co2,2773112.2,kg
2017,ALLONS (04),4005,Tous secteurs,Toutes énergies,co2,305421.9,kg
2017,ALLOS (04),4006,Tous secteurs,Toutes énergies,co2,8553169.2,kg
2017,ALTHEN-DES-PALUDS (84),84001,Tous secteurs,Toutes énergies,co2,13746135.8,kg
2017,AMIRAT (06),6002,Tous secteurs,Toutes énergies,co2,380305.2,kg
2017,AMPUS (83),83003,Tous secteurs,Toutes énergies,co2,3661300.9,kg
2017,ANCELLE (05),5004,Tous secteurs,Toutes énergies,co2,4441768,kg
2017,ANDON (06),6003,Tous secteurs,Toutes énergies,co2,7151873.9,kg
2017,ANGLES (04),4007,Tous secteurs,Toutes énergies,co2,281211.5,kg
2017,ANNOT (04),4008,Tous secteurs,Toutes énergies,co2,14008417.2,kg
2017,ANSOUIS (84),84002,Tous secteurs,Toutes énergies,co2,4888572.9,kg
2017,ANTIBES (06),6004,Tous secteurs,Toutes énergies,co2,258288800.6,kg
2017,APT (84),84003,Tous secteurs,Toutes énergies,co2,44192647.4,kg
2017,ARCHAIL (04),4009,Tous secteurs,Toutes énergies,co2,105340.7,kg
2017,ARLES (13),13004,Tous secteurs,Toutes énergies,co2,389258540.5,kg
2017,ARTIGNOSC-SUR-VERDON (83),83005,Tous secteurs,Toutes énergies,co2,877684,kg
2017,ARTIGUES (83),83006,Tous secteurs,Toutes énergies,co2,81691887.3,kg
2017,ARVIEUX (05),5007,Tous secteurs,Toutes énergies,co2,4834392.1,kg
2017,ASCROS (06),6005,Tous secteurs,Toutes énergies,co2,721226.5,kg
2017,ASPREMONT (05),5008,Tous secteurs,Toutes énergies,co2,3149569.4,kg
2017,ASPREMONT (06),6006,Tous secteurs,Toutes énergies,co2,8052496.7,kg
2017,ASPRES-LÈS-CORPS (05),5009,Tous secteurs,Toutes énergies,co2,2229026.4,kg
2017,ASPRES-SUR-BUËCH (05),5010,Tous secteurs,Toutes énergies,co2,7326111,kg
2017,AUBAGNE (13),13005,Tous secteurs,Toutes énergies,co2,243775493,kg
2017,AUBENAS-LES-ALPES (04),4012,Tous secteurs,Toutes énergies,co2,426176.2,kg
2017,AUBIGNAN (84),84004,Tous secteurs,Toutes énergies,co2,12394102.4,kg
2017,AUBIGNOSC (04),4013,Tous secteurs,Toutes énergies,co2,8880868.8,kg
2017,AUPS (83),83007,Tous secteurs,Toutes énergies,co2,8185407.6,kg
2017,AUREILLE (13),13006,Tous secteurs,Toutes énergies,co2,3556946.6,kg
2017,AUREL (84),84005,Tous secteurs,Toutes énergies,co2,757504.4,kg
2017,AURIBEAU (84),84006,Tous secteurs,Toutes énergies,co2,220953.9,kg
2017,AURIBEAU-SUR-SIAGNE (06),6007,Tous secteurs,Toutes énergies,co2,7431120.1,kg
2017,AURIOL (13),13007,Tous secteurs,Toutes énergies,co2,41634729,kg
2017,AURONS (13),13008,Tous secteurs,Toutes énergies,co2,1638691.6,kg
2017,AUTHON (04),4016,Tous secteurs,Toutes énergies,co2,1526650.9,kg
2017,AUVARE (06),6008,Tous secteurs,Toutes énergies,co2,241986.5,kg
2017,AUZET (04),4017,Tous secteurs,Toutes énergies,co2,446056.7,kg
2017,AVANÇON (05),5011,Tous secteurs,Toutes énergies,co2,21167068.1,kg
2017,AVIGNON (84),84007,Tous secteurs,Toutes énergies,co2,332291805.3,kg
2017,BAGNOLS-EN-FORÊT (83),83008,Tous secteurs,Toutes énergies,co2,46409987.2,kg
2017,BAIROLS (06),6009,Tous secteurs,Toutes énergies,co2,554373.3,kg
2017,BANDOL (83),83009,Tous secteurs,Toutes énergies,co2,28609144.4,kg
